Date,Open,High,Low,Close,Volume
2020-01-02,960.26,966.67,959.67,966.67,200600
2020-01-03,968.72,970.88,965.14,965.14,174100
2020-01-06,962.79,963.2,955.59,955.79,187200
2020-01-07,955.79,959.46,953.19,958.88,181600
2020-01-08,954.13,955.84,945.28,948.98,319200
2020-01-09,953.86,960.73,952.16,960.15,166100
2020-01-10,961.17,969.71,961.17,968.54,222200
2020-01-13,966.89,968.63,964.79,965.84,147100
2020-01-14,966.26,968.85,965.76,967.0,190300
2020-01-15,967.69,967.69,964.84,967.56,150000
2020-01-16,967.2,974.7,967.17,974.31,201300
2020-01-17,976.28,980.02,973.79,978.96,164100
2020-01-20,978.23,979.85,975.93,978.63,98732080
2020-01-21,978.82,986.37,978.82,986.37,157700
2020-01-22,986.52,991.46,983.92,991.46,152300
2020-01-30,975.15,977.72,954.0,959.58,198500
2020-01-31,959.58,960.96,936.62,936.62,253900
2020-02-03,916.6,930.37,891.85,928.14,275500
2020-02-04,929.42,934.91,919.33,929.09,197700
2020-02-05,934.75,936.33,921.89,925.91,197400
2020-02-06,926.66,938.54,925.21,938.54,223700
2020-02-07,938.61,943.48,935.94,940.75,194200
2020-02-10,934.38,935.87,926.61,930.73,154000
2020-02-11,930.73,936.04,930.73,934.67,179400
2020-02-12,940.72,943.11,937.34,937.68,228000
2020-02-13,937.19,939.1,934.47,938.24,177700
2020-02-14,939.28,940.65,936.47,937.45,204400
2020-02-17,934.77,938.52,931.66,934.77,143700760
2020-02-18,934.47,934.98,926.01,927.93,187800
2020-02-19,926.41,931.66,925.86,928.76,192200
2020-02-20,933.69,938.13,930.41,938.13,198300
2020-02-21,938.13,940.53,932.32,933.09,206800
2020-02-24,917.49,917.49,903.34,903.34,291900
2020-02-25,893.95,909.67,893.95,909.67,221100
2020-02-26,901.51,903.27,894.25,895.97,142600
2020-02-27,892.15,899.34,889.14,898.44,163300
2020-02-28,885.47,887.07,872.46,882.19,241900
2020-03-02,878.43,886.45,877.31,884.43,206600
2020-03-03,895.39,896.39,890.06,890.61,212700
2020-03-04,887.85,889.85,882.83,889.37,238500
2020-03-05,892.71,898.43,891.2,893.31,231300
2020-03-06,888.96,891.44,882.71,891.44,214300
2020-03-09,875.8,875.8,834.67,835.49,309100
2020-03-10,813.83,843.28,806.63,837.5,298000
2020-03-11,843.52,844.94,794.54,811.35,318600
2020-03-12,778.06,778.06,762.12,769.25,339200
2020-03-13,750.56,764.69,723.42,761.78,354700
2020-03-16,758.28,758.59,737.58,747.86,292300
2020-03-17,724.07,750.03,721.84,745.78,287300
2020-03-18,747.4,752.65,742.12,747.66,259000
2020-03-19,732.35,733.43,714.02,725.94,353400
2020-03-20,728.55,729.35,709.73,709.73,230600
2020-03-23,694.77,694.77,664.23,666.59,280200
2020-03-24,666.59,666.59,652.27,659.21,245100
2020-03-25,669.76,690.25,667.58,690.25,270200
2020-03-26,689.0,700.76,680.1,694.21,221900
2020-03-27,692.54,703.22,682.52,696.06,328000
2020-03-30,663.91,665.56,657.36,662.26,233100
2020-03-31,669.74,678.64,649.1,662.53,262800
2020-04-01,658.8,684.96,657.41,680.23,267000
2020-04-03,687.92,701.8,687.92,701.8,233100
2020-04-06,716.22,736.75,715.39,736.75,334900
2020-04-07,744.97,749.13,730.28,746.69,293000
2020-04-08,740.03,748.36,730.12,748.02,252300
2020-04-09,751.08,765.87,751.08,760.33,298500
2020-04-10,757.94,764.36,751.59,757.94,288523650
2020-04-13,762.99,774.62,762.53,765.79,235300
2020-04-14,769.01,769.53,753.85,767.41,266800
2020-04-15,768.05,779.52,768.01,777.22,302600
2020-04-16,773.11,781.06,770.91,780.7,250900
2020-04-17,786.96,790.95,783.74,789.6,309900
2020-04-20,796.17,797.49,786.73,794.97,336100
2020-04-21,794.97,794.97,761.96,766.84,397400
2020-04-22,752.8,774.94,749.97,768.92,253400
2020-04-23,768.92,785.6,768.92,773.91,205800
2020-04-24,777.28,778.3,767.31,776.66,262300
2020-04-27,780.65,785.74,770.77,770.77,307400
2020-04-28,773.31,776.13,763.66,767.21,219400
2020-04-29,768.59,772.62,768.19,769.11,250100
2020-05-04,766.14,769.73,761.64,762.47,285600
2020-05-05,763.22,767.03,760.04,764.16,212400
2020-05-06,767.3,782.59,765.37,782.59,272400
2020-05-07,785.08,796.54,785.08,796.54,240800
2020-05-08,800.32,825.72,800.2,813.73,371300
2020-05-11,818.26,828.33,812.48,828.33,353400
2020-05-12,827.29,835.95,819.66,835.32,322200
2020-05-13,835.32,839.59,815.13,834.21,374600
2020-05-14,830.97,836.19,826.17,832.4,341100
2020-05-15,835.42,838.47,824.59,827.03,301900
2020-05-18,827.49,837.61,823.08,837.01,254000
2020-05-19,852.14,854.25,844.15,845.92,385300
2020-05-20,843.26,852.91,842.21,852.91,265800
2020-05-21,854.93,862.73,854.04,862.73,331900
2020-05-22,859.29,860.65,852.08,852.74,304000
2020-05-25,859.04,860.45,849.12,859.04,250961090
2020-05-26,861.47,869.65,860.22,869.13,328300
2020-05-27,869.13,875.35,857.48,857.48,388900
2020-05-28,858.97,866.17,856.48,861.39,322200
2020-05-29,861.59,866.95,859.26,864.47,318200
2020-06-01,868.97,878.67,868.97,878.67,476500
2020-06-02,879.23,882.73,874.53,874.8,484700
2020-06-03,876.73,881.17,874.01,881.17,352000
2020-06-04,883.22,888.32,883.22,883.9,431100
2020-06-05,883.4,886.59,878.5,886.22,499600
2020-06-08,888.7,905.65,888.7,899.92,572000
2020-06-09,902.26,904.89,898.87,899.43,501700
2020-06-10,898.78,902.69,890.3,900.0,542900
2020-06-11,900.48,903.7,867.37,867.37,707500
2020-06-12,841.85,863.52,841.44,863.52,620800
2020-06-15,867.52,868.16,832.47,832.47,708200
2020-06-16,848.86,858.7,844.67,856.13,412400
2020-06-17,861.05,861.05,852.27,854.44,354800
2020-06-18,850.92,858.03,847.49,855.27,280300
2020-06-19,857.77,868.56,857.77,868.56,440100
2020-06-22,871.56,872.94,867.37,871.28,350400
2020-06-23,871.12,873.2,864.02,868.2,455400
2020-06-24,868.2,873.13,857.58,859.71,370900
2020-06-25,851.09,856.23,849.65,854.59,312300
2020-06-26,859.07,862.59,850.66,851.98,300400
2020-06-29,846.26,846.53,826.0,829.36,389600
2020-06-30,836.72,840.31,821.92,825.11,358400
2020-07-01,827.67,844.26,826.38,843.49,303500
2020-07-02,845.66,845.66,838.48,842.38,223800
2020-07-03,847.61,848.16,842.38,847.61,167905910
2020-07-06,851.47,861.85,850.04,861.16,215100
2020-07-07,865.46,870.63,863.42,863.42,330900
2020-07-08,861.75,865.58,859.98,864.5,237500
2020-07-09,867.66,878.36,867.45,876.46,306100
2020-07-10,873.7,878.53,867.59,871.21,291100
2020-07-13,874.85,876.83,866.99,868.72,246100
2020-07-14,865.01,868.11,860.28,868.11,239100
2020-07-15,872.8,876.69,869.91,869.91,258300
2020-07-16,871.81,876.83,869.25,876.83,243500
2020-07-17,873.48,875.07,871.89,872.02,270700
2020-07-20,870.66,871.64,861.4,861.4,285100
2020-07-21,863.94,864.7,856.94,861.69,245400
2020-07-22,862.8,864.0,854.97,855.08,278600
2020-07-23,854.92,857.22,851.97,856.75,240500
2020-07-24,854.23,854.57,816.65,829.16,505100
2020-07-27,794.14,808.74,780.64,785.17,422700
2020-07-28,786.72,814.4,786.67,813.36,328500
2020-07-29,800.39,800.39,779.82,790.84,362100
2020-07-30,796.22,802.97,794.88,801.13,188900
2020-07-31,787.78,803.55,786.98,798.39,249600
2020-08-03,796.86,814.84,796.47,814.65,298100
2020-08-04,822.86,827.57,820.2,827.57,277400
2020-08-05,827.54,839.52,820.74,837.8,306600
2020-08-06,838.01,844.16,833.56,840.04,257000
2020-08-07,840.65,844.33,836.84,841.46,259900
2020-08-10,845.11,849.52,843.2,843.2,309300
2020-08-11,847.61,847.61,840.35,843.08,249000
2020-08-12,844.19,848.54,842.88,846.92,272500
2020-08-13,849.96,855.19,849.86,855.05,256200
2020-08-14,854.29,860.32,848.38,850.74,304700
2020-08-17,848.08,852.05,841.62,850.15,237500
2020-08-18,850.15,851.06,845.0,846.43,227500
2020-08-19,847.19,853.15,846.22,851.21,240100
2020-08-20,851.21,856.99,847.44,848.21,285700
2020-08-21,849.99,856.45,849.69,854.78,286800
2020-08-24,860.35,868.68,860.35,868.68,381500
2020-08-25,870.92,877.57,870.92,874.12,399100
2020-08-26,873.62,876.97,871.78,873.47,352400
2020-08-27,872.38,875.71,871.93,874.71,325700
2020-08-28,878.79,885.86,877.7,878.98,398300
2020-08-31,882.13,888.44,879.26,881.65,352700
2020-09-01,882.4,892.51,880.79,891.73,317000
2020-09-03,898.25,904.32,896.26,903.97,370500
2020-09-04,896.02,903.11,893.86,901.54,346400
2020-09-07,888.25,905.8,888.25,888.25,369754460
2020-09-08,891.61,894.58,884.88,890.14,294000
2020-09-09,883.68,892.4,881.57,889.32,318400
2020-09-10,895.29,896.78,888.82,888.82,387200
2020-09-11,888.82,890.98,884.67,888.97,309900
2020-09-14,891.89,895.31,891.89,894.57,364400
2020-09-15,896.61,898.74,894.66,896.26,381800
2020-09-16,897.43,897.58,894.63,897.47,290400
2020-09-17,897.47,899.41,890.93,894.04,395500
2020-09-18,896.08,902.11,895.82,900.95,361800
2020-09-21,904.5,909.78,904.5,907.94,403400
2020-09-22,905.9,909.69,902.47,906.19,401400
2020-09-23,908.97,913.52,908.97,912.5,392500
2020-09-24,910.53,914.51,907.32,908.58,398500
2020-09-25,910.78,911.3,905.56,908.27,361200
2020-09-28,911.2,913.6,910.04,912.5,420200
2020-09-29,916.63,917.49,903.98,903.98,465400
2020-09-30,904.34,907.0,900.44,905.21,340700
2020-10-01,910.13,914.09,909.13,914.09,352400
2020-10-02,914.09,916.67,897.72,909.91,527200
2020-10-05,913.77,915.55,910.96,914.68,456100
2020-10-06,918.11,918.93,912.77,915.67,496100
2020-10-07,913.62,923.57,912.69,919.72,524000
2020-10-08,922.08,922.08,913.89,918.84,470300
2020-10-09,919.48,924.0,917.7,924.0,388100
2020-10-12,930.78,933.13,923.28,925.83,457200
2020-10-13,926.76,930.96,923.78,929.86,359000
2020-10-14,931.89,940.18,931.89,940.18,474900
2020-10-15,945.28,945.93,938.7,942.76,470500
2020-10-16,944.03,946.23,935.98,943.3,443300
2020-10-19,945.01,946.29,941.92,943.69,389500
2020-10-20,941.0,944.54,937.32,944.42,444300
2020-10-21,947.16,948.2,939.0,939.03,412700
2020-10-22,938.06,949.9,933.78,949.9,365100
2020-10-23,953.45,961.26,953.14,961.26,452500
2020-10-26,967.52,970.15,950.8,950.8,428200
2020-10-27,950.8,954.72,946.28,946.47,455900
2020-10-28,942.82,946.91,921.05,921.05,456100
2020-10-29,916.49,925.84,914.33,919.08,436100
2020-10-30,925.41,926.32,911.2,925.47,312800
